"nome","resumo","coordenador"
"MONITORIA PARA A DISCIPLINA LABORATÓRIO II (LÍTICO)","Em breve este conteúdo estará disponível.","Anderson Marques Garcia "
"NÚCLEO DE PESQUISAS ARQUEOLÓGICAS INDÍGENAS (NUPAI). NOSSA HISTÓRIA ATRAVÉS DOS ARTEFATOS LÍTICOS","Em breve este conteúdo estará disponível.","Anderson Marques Garcia "
"PEDRAS PRA QUE TE QUERO. ESTUDO DE ARTEFATOS LÍTICOS DE SOCIEDADES PRÉ-COLONIAIS BRASILEIRAS","Em breve este conteúdo estará disponível.","Anderson Marques Garcia "
"DESMISTIFICANDO A UTILIZAÇÃO DE DRONES NAS GEOCIÊNCIAS","Em breve este conteúdo estará disponível.","Enrico Campos Pedroso "
"ONDE DESCANSA O PRINCIPESSA MAFALDA ? UMA CONTRIBUIÇÃO PARA A ARQUEOLOGIA SUBAQUÁTICA NACIONAL","Em breve este conteúdo estará disponível.","Enrico Campos Pedroso "
"MONITORANDO UMA DISCIPLINA DE LABORATÓRIO DE CERÂMICA","Em breve este conteúdo estará disponível.","Fernando Ozorio De Almeida "
"NO UNIVERSO DOS CACOS: CERÂMICAS DO NÚCLEO DE PESQUISAS ARQUEOLÓGICAS INDÍGENAS (NUPAI)","Em breve este conteúdo estará disponível.","Fernando Ozorio De Almeida "
"ENTRE MURALHAS ABRIGOS E CAMINHOS: O COTIDIANO DAS PESSOAS NA FAZENDA VILA RICA RIO DE JANEIRO.","Em breve este conteúdo estará disponível.","Glaucia Aparecida Malerba Sene "
"INTRODUÇÃO A ARQUEOLOGIA","Em breve este conteúdo estará disponível.","Paulo Roberto Gomes Seda "
"IMPLEMENTAÇÃO DE UM CENTRO DE REFERÊNCIA PARA ESTUDOS ARQUEOLÓGICOS","Em breve este conteúdo estará disponível.","Paulo Roberto Gomes Seda "
"SOCIEDADES INDÍGENAS AMERICANAS","Em breve este conteúdo estará disponível.","Vlademir José Luft "
"PRÉ-HISTÓRIA GERAL","Em breve este conteúdo estará disponível.","Vlademir José Luft "
